lat,speed_mps,timestamp_gmt_ms,lon,hr,time_s,elapsed_s,moving_s,elev_m,body_battery,dist_m,vert_mps,timestamp_utc
50.63238529488444,3.23799991607666,1753539849000.0,1.820647269487381,123.0,3296.0,3296.0,2917.0,154.8000030517578,65.0,8646.3203125,-0.20000000298023224,2025-07-26 14:24:09+00:00
50.632338440045714,2.7709999084472656,1753539851000.0,1.8207339383661747,123.0,3298.0,3298.0,2919.0,154.60000610351562,65.0,8654.5595703125,-0.10000000149011612,2025-07-26 14:24:11+00:00
50.63228873535991,3.4240000247955322,1753539855000.0,1.8209423124790192,126.0,3302.0,3302.0,2923.0,154.0,65.0,8671.3798828125,-0.15000000596046448,2025-07-26 14:24:15+00:00
50.632286220788956,3.6389999389648438,1753539856000.0,1.821002997457981,126.0,3303.0,3303.0,2924.0,153.8000030517578,65.0,8675.830078125,-0.20000000298023224,2025-07-26 14:24:16+00:00
50.63228144310415,3.7320001125335693,1753539857000.0,1.8210604973137379,126.0,3304.0,3304.0,2925.0,153.60000610351562,65.0,8680.099609375,-0.20000000298023224,2025-07-26 14:24:17+00:00
50.6322580575943,3.2839999198913574,1753539862000.0,1.8213098589330912,126.0,3309.0,3309.0,2930.0,152.60000610351562,65.0,8698.0,-0.20000000298023224,2025-07-26 14:24:22+00:00
50.63224917277694,3.0980000495910645,1753539863000.0,1.8213523551821709,126.0,3310.0,3310.0,2931.0,152.39999389648438,65.0,8700.9697265625,-0.20000000298023224,2025-07-26 14:24:23+00:00
50.63219837844372,3.6670000553131104,1753539867000.0,1.8215435463935137,125.0,3314.0,3314.0,2935.0,151.39999389648438,65.0,8716.5,-0.25,2025-07-26 14:24:27+00:00
50.632166527211666,3.871999979019165,1753539869000.0,1.8216318916529417,132.0,3316.0,3316.0,2937.0,150.8000030517578,65.0,8722.9697265625,-0.30000001192092896,2025-07-26 14:24:29+00:00
50.63215387053788,3.181999921798706,1753539870000.0,1.8216706160455942,138.0,3317.0,3317.0,2938.0,150.60000610351562,65.0,8726.2197265625,-0.20000000298023224,2025-07-26 14:24:30+00:00
50.6321388669312,3.1440000534057617,1753539871000.0,1.8217130284756422,142.0,3318.0,3318.0,2939.0,150.39999389648438,65.0,8729.3095703125,-0.20000000298023224,2025-07-26 14:24:31+00:00
50.63211975619197,3.4709999561309814,1753539872000.0,1.8217594642192125,145.0,3319.0,3319.0,2940.0,150.39999389648438,65.0,8733.240234375,0.0,2025-07-26 14:24:32+00:00
50.6320992205292,3.5920000076293945,1753539873000.0,1.8218043074011803,146.0,3320.0,3320.0,2941.0,150.1999969482422,65.0,8737.099609375,-0.20000000298023224,2025-07-26 14:24:33+00:00
50.63205881975591,3.6019999980926514,1753539875000.0,1.8218959216028452,149.0,3322.0,3322.0,2943.0,150.0,65.0,8744.7197265625,-0.10000000149011612,2025-07-26 14:24:35+00:00
50.63198782503605,3.443000078201294,1753539879000.0,1.8220747075974941,149.0,3326.0,3326.0,2947.0,149.39999389648438,65.0,8759.9296875,-0.15000000596046448,2025-07-26 14:24:39+00:00
50.63195714727044,2.9860000610351562,1753539881000.0,1.82215659879148,149.0,3328.0,3328.0,2949.0,149.0,65.0,8766.51953125,-0.20000000298023224,2025-07-26 14:24:41+00:00
50.63184960745275,3.6110000610351562,1753539886000.0,1.822399590164423,151.0,3333.0,3333.0,2954.0,148.1999969482422,65.0,8787.6201171875,-0.1599999964237213,2025-07-26 14:24:46+00:00
50.63177500851452,3.5920000076293945,1753539890000.0,1.8225748557597399,151.0,3337.0,3337.0,2958.0,147.1999969482422,65.0,8802.8603515625,-0.25,2025-07-26 14:24:50+00:00
50.631737457588315,3.8910000324249268,1753539892000.0,1.822667894884944,150.0,3339.0,3339.0,2960.0,146.8000030517578,65.0,8810.5498046875,-0.20000000298023224,2025-07-26 14:24:52+00:00
50.63160963356495,3.302999973297119,1753539898000.0,1.8229381274431944,149.0,3345.0,3345.0,2966.0,146.1999969482422,65.0,8833.98046875,-0.10000000149011612,2025-07-26 14:24:58+00:00
50.63159404322505,2.7339999675750732,1753539899000.0,1.8229760136455297,149.0,3346.0,3346.0,2967.0,146.1999969482422,65.0,8837.83984375,0.0,2025-07-26 14:24:59+00:00
50.63147879205644,3.806999921798706,1753539905000.0,1.8232049234211445,149.0,3352.0,3352.0,2973.0,145.39999389648438,65.0,8858.169921875,-0.13300000131130219,2025-07-26 14:25:05+00:00
50.63135348260403,3.2839999198913574,1753539911000.0,1.8234711326658726,147.0,3358.0,3358.0,2979.0,145.1999969482422,65.0,8881.650390625,-0.032999999821186066,2025-07-26 14:25:11+00:00
50.63133269548416,3.181999921798706,1753539912000.0,1.8235080130398273,147.0,3359.0,3359.0,2980.0,144.8000030517578,65.0,8885.3603515625,-0.4000000059604645,2025-07-26 14:25:12+00:00
50.6311855930835,3.7139999866485596,1753539919000.0,1.8237583804875612,146.0,3366.0,3366.0,2987.0,143.8000030517578,65.0,8909.9501953125,-0.14300000667572021,2025-07-26 14:25:19+00:00
50.63109657727182,3.8259999752044678,1753539923000.0,1.8239060696214437,146.0,3370.0,3370.0,2991.0,142.8000030517578,65.0,8923.9296875,-0.25,2025-07-26 14:25:23+00:00
50.63100823201239,3.23799991607666,1753539927000.0,1.8240469694137573,146.0,3374.0,3374.0,2995.0,142.60000610351562,65.0,8937.8798828125,-0.05000000074505806,2025-07-26 14:25:27+00:00
50.630825255066156,4.01200008392334,1753539934000.0,1.824299180880189,146.0,3381.0,3381.0,3002.0,142.0,65.0,8965.0,-0.0860000029206276,2025-07-26 14:25:34+00:00
50.63074981793761,3.947000026702881,1753539937000.0,1.8244233168661594,145.0,3384.0,3384.0,3005.0,141.8000030517578,65.0,8977.240234375,-0.06700000166893005,2025-07-26 14:25:37+00:00
50.63064814545214,4.208000183105469,1753539941000.0,1.8245697487145662,145.0,3388.0,3388.0,3009.0,141.0,65.0,8992.2900390625,-0.20000000298023224,2025-07-26 14:25:41+00:00
50.63059953041375,3.742000102996826,1753539943000.0,1.824644012376666,143.0,3390.0,3390.0,3011.0,140.39999389648438,65.0,9000.23046875,-0.30000001192092896,2025-07-26 14:25:43+00:00
50.630485117435455,4.244999885559082,1753539947000.0,1.8247919529676437,142.0,3394.0,3394.0,3015.0,140.1999969482422,65.0,9016.3896484375,-0.05000000074505806,2025-07-26 14:25:47+00:00
50.63031328842044,3.8350000381469727,1753539953000.0,1.8249846529215574,140.0,3400.0,3400.0,3021.0,139.60000610351562,65.0,9040.080078125,-0.10000000149011612,2025-07-26 14:25:53+00:00
50.63028655014932,3.619999885559082,1753539954000.0,1.8250150792300701,140.0,3401.0,3401.0,3022.0,139.39999389648438,65.0,9043.740234375,-0.20000000298023224,2025-07-26 14:25:54+00:00
50.630162162706256,3.38700008392334,1753539959000.0,1.8251671269536018,137.0,3406.0,3406.0,3027.0,138.39999389648438,65.0,9061.3095703125,-0.20000000298023224,2025-07-26 14:25:59+00:00
50.63013785518706,3.4619998931884766,1753539960000.0,1.8251981399953365,137.0,3407.0,3407.0,3028.0,138.39999389648438,65.0,9064.75,0.0,2025-07-26 14:26:00+00:00
50.63005981966853,3.750999927520752,1753539963000.0,1.82529310695827,136.0,3410.0,3410.0,3031.0,138.1999969482422,65.0,9075.7197265625,-0.06700000166893005,2025-07-26 14:26:03+00:00
50.62992487102747,3.750999927520752,1753539968000.0,1.825440963730216,136.0,3415.0,3415.0,3036.0,137.1999969482422,65.0,9093.8896484375,-0.20000000298023224,2025-07-26 14:26:08+00:00
50.629864605143666,3.806999921798706,1753539970000.0,1.8255011457949877,136.0,3417.0,3417.0,3038.0,137.0,65.0,9101.599609375,-0.10000000149011612,2025-07-26 14:26:10+00:00
50.62976117245853,3.2100000381469727,1753539974000.0,1.8256132118403912,133.0,3421.0,3421.0,3042.0,136.39999389648438,65.0,9116.08984375,-0.15000000596046448,2025-07-26 14:26:14+00:00
50.62971146777272,3.4149999618530273,1753539976000.0,1.8256675265729427,134.0,3423.0,3423.0,3044.0,136.39999389648438,65.0,9122.740234375,0.0,2025-07-26 14:26:16+00:00
50.62968833371997,3.200000047683716,1753539977000.0,1.8256932590156794,138.0,3424.0,3424.0,3045.0,136.0,65.0,9125.9599609375,-0.4000000059604645,2025-07-26 14:26:17+00:00
50.62966394238174,3.3399999141693115,1753539978000.0,1.8257185723632574,141.0,3425.0,3425.0,3046.0,136.0,65.0,9129.1396484375,0.0,2025-07-26 14:26:18+00:00
50.62964047305286,3.25600004196167,1753539979000.0,1.8257435504347086,143.0,3426.0,3426.0,3047.0,135.8000030517578,65.0,9132.2998046875,-0.20000000298023224,2025-07-26 14:26:19+00:00
50.62957400456071,2.994999885559082,1753539982000.0,1.8258178979158401,146.0,3429.0,3429.0,3050.0,135.8000030517578,65.0,9141.23046875,0.0,2025-07-26 14:26:22+00:00
50.6295314244926,2.865000009536743,1753539984000.0,1.8258666805922985,147.0,3431.0,3431.0,3052.0,135.60000610351562,65.0,9147.01953125,-0.10000000149011612,2025-07-26 14:26:24+00:00
50.629424806684256,3.2750000953674316,1753539989000.0,1.825964329764247,145.0,3436.0,3436.0,3057.0,134.8000030517578,65.0,9160.8701171875,-0.1599999964237213,2025-07-26 14:26:29+00:00
50.62940209172666,3.0789999961853027,1753539990000.0,1.8259865418076515,146.0,3437.0,3437.0,3058.0,134.60000610351562,65.0,9163.76953125,-0.20000000298023224,2025-07-26 14:26:30+00:00
50.62923143617809,3.3499999046325684,1753539997000.0,1.826130710542202,146.0,3444.0,3444.0,3065.0,133.60000610351562,65.0,9185.5498046875,-0.14300000667572021,2025-07-26 14:26:37+00:00
50.62914510257542,2.9210000038146973,1753540001000.0,1.8262218218296766,146.0,3448.0,3448.0,3069.0,132.60000610351562,65.0,9197.16015625,-0.25,2025-07-26 14:26:41+00:00
50.62906103208661,3.190999984741211,1753540005000.0,1.8263245839625597,145.0,3452.0,3452.0,3073.0,132.0,65.0,9209.0,-0.15000000596046448,2025-07-26 14:26:45+00:00
50.628928262740374,2.9579999446868896,1753540011000.0,1.8265001848340034,147.0,3458.0,3458.0,3079.0,131.60000610351562,65.0,9228.0302734375,-0.06700000166893005,2025-07-26 14:26:51+00:00
50.628912253305316,2.500999927520752,1753540012000.0,1.8265263363718987,146.0,3459.0,3459.0,3080.0,131.60000610351562,65.0,9230.6904296875,0.0,2025-07-26 14:26:52+00:00
50.6287990976125,3.1630001068115234,1753540018000.0,1.8267219699919224,145.0,3465.0,3465.0,3086.0,130.60000610351562,65.0,9249.490234375,-0.16699999570846558,2025-07-26 14:26:58+00:00
50.628727516159415,3.2939999103546143,1753540022000.0,1.8268615286797285,145.0,3469.0,3469.0,3090.0,130.39999389648438,64.0,9262.1298828125,-0.05000000074505806,2025-07-26 14:27:02+00:00
50.62863104045391,3.125999927520752,1753540027000.0,1.8270552344620228,144.0,3474.0,3474.0,3095.0,129.39999389648438,64.0,9279.669921875,-0.20000000298023224,2025-07-26 14:27:07+00:00
50.62850405462086,3.6110000610351562,1753540035000.0,1.8273672088980675,145.0,3482.0,3482.0,3103.0,128.60000610351562,64.0,9305.9404296875,-0.10000000149011612,2025-07-26 14:27:15+00:00
50.62847186811268,4.067999839782715,1753540037000.0,1.8274631816893816,145.0,3484.0,3484.0,3105.0,128.1999969482422,64.0,9313.419921875,-0.20000000298023224,2025-07-26 14:27:17+00:00
50.62842006795108,4.2829999923706055,1753540040000.0,1.8276249524205923,140.0,3487.0,3487.0,3108.0,127.4000015258789,64.0,9325.9501953125,-0.2669999897480011,2025-07-26 14:27:20+00:00
50.62840229831636,4.189000129699707,1753540041000.0,1.8276827037334442,139.0,3488.0,3488.0,3109.0,127.4000015258789,64.0,9330.6396484375,0.0,2025-07-26 14:27:21+00:00
50.62836625613272,4.684000015258789,1753540045000.0,1.8279303051531315,136.0,3492.0,3492.0,3113.0,127.19999694824219,64.0,9348.5498046875,-0.05000000074505806,2025-07-26 14:27:25+00:00
50.62835460528731,4.627999782562256,1753540046000.0,1.827998450025916,135.0,3493.0,3493.0,3114.0,127.0,64.0,9353.599609375,-0.20000000298023224,2025-07-26 14:27:26+00:00
50.62831160612404,4.684000015258789,1753540051000.0,1.8283234164118767,133.0,3498.0,3498.0,3119.0,125.80000305175781,64.0,9377.349609375,-0.23999999463558197,2025-07-26 14:27:31+00:00
50.62829400412738,4.385000228881836,1753540053000.0,1.8284492287784815,134.0,3500.0,3500.0,3121.0,125.4000015258789,64.0,9386.16015625,-0.20000000298023224,2025-07-26 14:27:33+00:00
50.62823181040585,4.534999847412109,1753540056000.0,1.828613681718707,131.0,3503.0,3503.0,3124.0,124.80000305175781,64.0,9399.75,-0.20000000298023224,2025-07-26 14:27:36+00:00
50.62820255756378,4.544000148773193,1753540057000.0,1.8286588601768017,131.0,3504.0,3504.0,3125.0,124.5999984741211,64.0,9404.3203125,-0.20000000298023224,2025-07-26 14:27:37+00:00
50.62816819176078,4.656000137329102,1753540058000.0,1.8286940641701221,131.0,3505.0,3505.0,3126.0,124.4000015258789,64.0,9408.830078125,-0.20000000298023224,2025-07-26 14:27:38+00:00
50.628044893965125,4.89900016784668,1753540061000.0,1.8287667352706194,130.0,3508.0,3508.0,3129.0,123.80000305175781,64.0,9423.1796875,-0.20000000298023224,2025-07-26 14:27:41+00:00
50.62800063751638,4.9730000495910645,1753540062000.0,1.828789534047246,130.0,3509.0,3509.0,3130.0,123.80000305175781,64.0,9428.509765625,0.0,2025-07-26 14:27:42+00:00
50.627725375816226,5.309000015258789,1753540068000.0,1.8288573436439037,130.0,3515.0,3515.0,3136.0,122.80000305175781,64.0,9459.759765625,-0.16699999570846558,2025-07-26 14:27:48+00:00
50.62763040885329,5.3460001945495605,1753540070000.0,1.828864300623536,130.0,3517.0,3517.0,3138.0,122.80000305175781,64.0,9470.1298828125,0.0,2025-07-26 14:27:50+00:00
50.627209385856986,5.019999980926514,1753540079000.0,1.828847536817193,130.0,3526.0,3526.0,3147.0,122.5999984741211,64.0,9517.1396484375,-0.02199999988079071,2025-07-26 14:27:59+00:00
50.626977207139134,5.317999839782715,1753540084000.0,1.8288158532232046,132.0,3531.0,3531.0,3152.0,121.5999984741211,64.0,9542.990234375,-0.20000000298023224,2025-07-26 14:28:04+00:00
50.626783752813935,5.448999881744385,1753540088000.0,1.8287861812859774,133.0,3535.0,3535.0,3156.0,121.5999984741211,64.0,9564.599609375,0.0,2025-07-26 14:28:08+00:00
50.626642098650336,5.159999847412109,1753540091000.0,1.8287552520632744,131.0,3538.0,3538.0,3159.0,120.19999694824219,64.0,9580.5400390625,-0.46700000762939453,2025-07-26 14:28:11+00:00
50.62646431848407,5.000999927520752,1753540095000.0,1.828716779127717,130.0,3542.0,3542.0,3163.0,120.19999694824219,64.0,9600.5703125,0.0,2025-07-26 14:28:15+00:00
