hr,body_battery,timestamp_gmt_ms,moving_s,time_s,elapsed_s,dist_m,timestamp_utc
91.0,76.0,1753266073000.0,0.0,405.0,405.0,0.0,2025-07-23 10:21:13+00:00
89.0,76.0,1753266074000.0,0.0,406.0,406.0,0.0,2025-07-23 10:21:14+00:00
90.0,76.0,1753266075000.0,0.0,407.0,407.0,0.0,2025-07-23 10:21:15+00:00
89.0,76.0,1753266076000.0,0.0,408.0,408.0,0.0,2025-07-23 10:21:16+00:00
88.0,76.0,1753266078000.0,0.0,410.0,410.0,0.0,2025-07-23 10:21:18+00:00
88.0,76.0,1753266085000.0,0.0,417.0,417.0,0.0,2025-07-23 10:21:25+00:00
89.0,76.0,1753266087000.0,0.0,419.0,419.0,0.0,2025-07-23 10:21:27+00:00
88.0,76.0,1753266092000.0,0.0,424.0,424.0,0.0,2025-07-23 10:21:32+00:00
87.0,76.0,1753266093000.0,0.0,425.0,425.0,0.0,2025-07-23 10:21:33+00:00
84.0,76.0,1753266095000.0,0.0,427.0,427.0,0.0,2025-07-23 10:21:35+00:00
83.0,76.0,1753266096000.0,0.0,428.0,428.0,0.0,2025-07-23 10:21:36+00:00
84.0,76.0,1753266098000.0,0.0,430.0,430.0,0.0,2025-07-23 10:21:38+00:00
85.0,76.0,1753266099000.0,0.0,431.0,431.0,0.0,2025-07-23 10:21:39+00:00
86.0,76.0,1753266101000.0,0.0,433.0,433.0,0.0,2025-07-23 10:21:41+00:00
87.0,76.0,1753266102000.0,0.0,434.0,434.0,0.0,2025-07-23 10:21:42+00:00
88.0,76.0,1753266103000.0,0.0,435.0,435.0,0.0,2025-07-23 10:21:43+00:00
90.0,76.0,1753266104000.0,0.0,436.0,436.0,0.0,2025-07-23 10:21:44+00:00
92.0,76.0,1753266105000.0,0.0,437.0,437.0,0.0,2025-07-23 10:21:45+00:00
94.0,76.0,1753266106000.0,0.0,438.0,438.0,0.0,2025-07-23 10:21:46+00:00
95.0,76.0,1753266107000.0,0.0,439.0,439.0,0.0,2025-07-23 10:21:47+00:00
94.0,76.0,1753266108000.0,0.0,440.0,440.0,0.0,2025-07-23 10:21:48+00:00
92.0,76.0,1753266109000.0,0.0,441.0,441.0,0.0,2025-07-23 10:21:49+00:00
93.0,76.0,1753266113000.0,0.0,445.0,445.0,0.0,2025-07-23 10:21:53+00:00
95.0,76.0,1753266114000.0,0.0,446.0,446.0,0.0,2025-07-23 10:21:54+00:00
96.0,76.0,1753266115000.0,0.0,447.0,447.0,0.0,2025-07-23 10:21:55+00:00
99.0,76.0,1753266116000.0,0.0,448.0,448.0,0.0,2025-07-23 10:21:56+00:00
100.0,76.0,1753266117000.0,0.0,449.0,449.0,0.0,2025-07-23 10:21:57+00:00
102.0,76.0,1753266118000.0,0.0,450.0,450.0,0.0,2025-07-23 10:21:58+00:00
103.0,76.0,1753266119000.0,0.0,451.0,451.0,0.0,2025-07-23 10:21:59+00:00
104.0,76.0,1753266123000.0,0.0,455.0,455.0,0.0,2025-07-23 10:22:03+00:00
103.0,76.0,1753266124000.0,0.0,456.0,456.0,0.0,2025-07-23 10:22:04+00:00
100.0,76.0,1753266128000.0,0.0,460.0,460.0,0.0,2025-07-23 10:22:08+00:00
98.0,76.0,1753266129000.0,0.0,461.0,461.0,0.0,2025-07-23 10:22:09+00:00
97.0,76.0,1753266131000.0,0.0,463.0,463.0,0.0,2025-07-23 10:22:11+00:00
